180,result\model\test\resizeImg90.jpg,91,204,81,205,Tue Jan 27 18:02:45 2015
177,result\model\test\resizeImg90.jpg,86,204,73,202,Tue Jan 27 18:02:24 2015
174,result\model\test\resizeImg90.jpg,84,203,76,204,Tue Jan 27 18:02:51 2015
171,result\model\test\resizeImg90.jpg,81,204,78,203,Tue Jan 27 18:02:56 2015
168,result\model\test\resizeImg90.jpg,82,204,77,206,Tue Jan 27 18:03:00 2015
165,result\model\test\resizeImg90.jpg,78,202,76,203,Tue Jan 27 18:03:06 2015
162,result\model\test\resizeImg90.jpg,70,199,74,203,Tue Jan 27 18:03:11 2015
159,result\model\test\resizeImg90.jpg,68,200,72,203,Tue Jan 27 18:03:15 2015
156,result\model\test\resizeImg90.jpg,68,199,71,203,Tue Jan 27 18:03:18 2015
153,result\model\test\resizeImg90.jpg,69,197,76,204,Tue Jan 27 18:03:21 2015
150,result\model\test\resizeImg90.jpg,72,205,80,207,Tue Jan 27 18:03:31 2015
147,result\model\test\resizeImg90.jpg,73,205,81,206,Tue Jan 27 18:03:35 2015
144,result\model\test\resizeImg90.jpg,73,202,81,204,Tue Jan 27 18:03:39 2015
141,result\model\test\resizeImg90.jpg,77,204,88,205,Tue Jan 27 18:03:43 2015
138,result\model\test\resizeImg90.jpg,82,208,98,210,Tue Jan 27 18:03:49 2015
135,result\model\test\resizeImg90.jpg,84,206,101,211,Tue Jan 27 18:03:52 2015
132,result\model\test\resizeImg90.jpg,95,210,118,211,Tue Jan 27 18:03:56 2015
129,result\model\test\resizeImg90.jpg,107,210,128,212,Tue Jan 27 18:04:03 2015
126,result\model\test\resizeImg90.jpg,113,212,136,214,Tue Jan 27 18:04:06 2015
123,result\model\test\resizeImg90.jpg,117,211,149,214,Tue Jan 27 18:04:10 2015
120,result\model\test\resizeImg90.jpg,131,211,159,214,Tue Jan 27 18:04:14 2015
117,result\model\test\resizeImg90.jpg,138,214,173,213,Tue Jan 27 18:04:19 2015
114,result\model\test\resizeImg90.jpg,149,216,187,214,Tue Jan 27 18:04:23 2015
111,result\model\test\resizeImg90.jpg,160,215,203,217,Tue Jan 27 18:04:27 2015
108,result\model\test\resizeImg90.jpg,176,213,221,216,Tue Jan 27 18:04:33 2015
105,result\model\test\resizeImg90.jpg,184,214,232,216,Tue Jan 27 18:04:37 2015
102,result\model\test\resizeImg90.jpg,194,211,244,217,Tue Jan 27 18:04:41 2015
99,result\model\test\resizeImg90.jpg,212,213,263,216,Tue Jan 27 18:04:45 2015
96,result\model\test\resizeImg90.jpg,221,213,273,214,Tue Jan 27 18:04:49 2015
93,result\model\test\resizeImg90.jpg,238,213,294,214,Tue Jan 27 18:05:02 2015
90,result\model\test\resizeImg90.jpg,258,217,313,213,Tue Jan 27 18:05:07 2015
87,result\model\test\resizeImg90.jpg,269,215,322,212,Tue Jan 27 18:05:13 2015
84,result\model\test\resizeImg90.jpg,279,214,338,217,Tue Jan 27 18:05:17 2015
81,result\model\test\resizeImg90.jpg,293,216,350,214,Tue Jan 27 18:05:28 2015
78,result\model\test\resizeImg90.jpg,314,217,368,213,Tue Jan 27 18:05:34 2015
75,result\model\test\resizeImg90.jpg,321,219,377,212,Tue Jan 27 18:05:38 2015
72,result\model\test\resizeImg90.jpg,337,215,393,219,Tue Jan 27 18:05:42 2015
69,result\model\test\resizeImg90.jpg,350,216,407,217,Tue Jan 27 18:05:46 2015
66,result\model\test\resizeImg90.jpg,371,219,419,212,Tue Jan 27 18:05:51 2015
63,result\model\test\resizeImg90.jpg,379,217,426,213,Tue Jan 27 18:05:54 2015
60,result\model\test\resizeImg90.jpg,388,217,440,209,Tue Jan 27 18:05:58 2015
57,result\model\test\resizeImg90.jpg,402,217,449,207,Tue Jan 27 18:06:02 2015
54,result\model\test\resizeImg90.jpg,408,219,460,208,Tue Jan 27 18:06:06 2015
51,result\model\test\resizeImg90.jpg,415,219,460,208,Tue Jan 27 18:06:09 2015
48,result\model\test\resizeImg90.jpg,432,217,471,204,Tue Jan 27 18:06:14 2015
45,result\model\test\resizeImg90.jpg,445,218,481,208,Tue Jan 27 18:06:17 2015
42,result\model\test\resizeImg90.jpg,452,223,486,212,Tue Jan 27 18:06:21 2015
39,result\model\test\resizeImg90.jpg,462,221,492,211,Tue Jan 27 18:06:26 2015
36,result\model\test\resizeImg90.jpg,472,220,497,204,Tue Jan 27 18:06:30 2015
33,result\model\test\resizeImg90.jpg,478,221,500,207,Tue Jan 27 18:06:33 2015
30,result\model\test\resizeImg90.jpg,479,221,497,206,Tue Jan 27 18:06:36 2015
27,result\model\test\resizeImg90.jpg,491,216,504,208,Tue Jan 27 18:06:39 2015
24,result\model\test\resizeImg90.jpg,494,215,505,203,Tue Jan 27 18:06:42 2015
21,result\model\test\resizeImg90.jpg,499,210,507,207,Tue Jan 27 18:06:44 2015
18,result\model\test\resizeImg90.jpg,500,211,506,207,Tue Jan 27 18:06:48 2015
15,result\model\test\resizeImg90.jpg,504,203,502,209,Tue Jan 27 21:37:27 2015
12,result\model\test\resizeImg90.jpg,507,209,501,203,Tue Jan 27 18:06:56 2015
9,result\model\test\resizeImg90.jpg,506,210,497,206,Tue Jan 27 18:07:00 2015
6,result\model\test\resizeImg90.jpg,504,219,495,216,Tue Jan 27 18:07:05 2015
3,result\model\test\resizeImg90.jpg,509,217,495,215,Tue Jan 27 18:07:08 2015
0,result\model\test\resizeImg90.jpg,498,216,487,214,Tue Jan 27 18:07:13 2015
