180,result\model\test\resizeImg90.jpg,88,205,103,196,Fri Jan 30 18:20:22 2015
177,result\model\test\resizeImg90.jpg,78,207,99,200,Fri Jan 30 18:20:47 2015
174,result\model\test\resizeImg90.jpg,75,205,104,200,Fri Jan 30 18:21:21 2015
171,result\model\test\resizeImg90.jpg,74,211,95,201,Fri Jan 30 18:21:30 2015
168,result\model\test\resizeImg90.jpg,73,216,95,200,Fri Jan 30 18:21:34 2015
165,result\model\test\resizeImg90.jpg,74,218,90,199,Fri Jan 30 18:21:38 2015
162,result\model\test\resizeImg90.jpg,78,218,75,200,Fri Jan 30 18:21:44 2015
159,result\model\test\resizeImg90.jpg,79,214,70,206,Fri Jan 30 18:21:49 2015
156,result\model\test\resizeImg90.jpg,87,217,72,204,Fri Jan 30 18:21:54 2015
153,result\model\test\resizeImg90.jpg,94,216,68,203,Fri Jan 30 18:21:59 2015
150,result\model\test\resizeImg90.jpg,101,220,62,201,Fri Jan 30 18:22:03 2015
147,result\model\test\resizeImg90.jpg,97,218,54,200,Fri Jan 30 18:22:09 2015
144,result\model\test\resizeImg90.jpg,100,216,49,198,Fri Jan 30 18:22:12 2015
141,result\model\test\resizeImg90.jpg,101,217,44,198,Fri Jan 30 18:22:17 2015
138,result\model\test\resizeImg90.jpg,107,217,41,199,Fri Jan 30 18:22:22 2015
135,result\model\test\resizeImg90.jpg,116,220,39,201,Fri Jan 30 18:22:28 2015
132,result\model\test\resizeImg90.jpg,126,219,38,201,Fri Jan 30 18:22:36 2015
129,result\model\test\resizeImg90.jpg,140,220,41,201,Fri Jan 30 18:22:42 2015
126,result\model\test\resizeImg90.jpg,149,221,40,201,Fri Jan 30 18:22:47 2015
123,result\model\test\resizeImg90.jpg,157,222,38,201,Fri Jan 30 18:22:52 2015
120,result\model\test\resizeImg90.jpg,168,221,37,203,Fri Jan 30 18:22:57 2015
117,result\model\test\resizeImg90.jpg,180,221,37,203,Fri Jan 30 18:23:07 2015
114,result\model\test\resizeImg90.jpg,194,223,38,202,Fri Jan 30 18:23:12 2015
111,result\model\test\resizeImg90.jpg,212,218,40,198,Fri Jan 30 18:23:17 2015
108,result\model\test\resizeImg90.jpg,231,220,41,200,Fri Jan 30 18:23:21 2015
105,result\model\test\resizeImg90.jpg,237,217,44,203,Fri Jan 30 18:23:25 2015
102,result\model\test\resizeImg90.jpg,251,216,52,202,Fri Jan 30 18:23:29 2015
99,result\model\test\resizeImg90.jpg,270,216,60,204,Fri Jan 30 18:23:33 2015
96,result\model\test\resizeImg90.jpg,279,216,63,203,Fri Jan 30 18:23:39 2015
93,result\model\test\resizeImg90.jpg,297,216,72,205,Fri Jan 30 18:23:44 2015
90,result\model\test\resizeImg90.jpg,314,215,87,205,Fri Jan 30 18:23:51 2015
87,result\model\test\resizeImg90.jpg,325,214,97,205,Fri Jan 30 18:23:55 2015
84,result\model\test\resizeImg90.jpg,335,216,106,205,Fri Jan 30 18:23:59 2015
81,result\model\test\resizeImg90.jpg,349,215,119,205,Fri Jan 30 18:24:05 2015
78,result\model\test\resizeImg90.jpg,369,215,141,209,Fri Jan 30 18:24:09 2015
75,result\model\test\resizeImg90.jpg,374,216,151,209,Fri Jan 30 18:24:12 2015
72,result\model\test\resizeImg90.jpg,394,213,170,210,Fri Jan 30 18:24:16 2015
69,result\model\test\resizeImg90.jpg,406,215,186,210,Fri Jan 30 18:24:21 2015
66,result\model\test\resizeImg90.jpg,419,215,199,208,Fri Jan 30 18:32:35 2015
63,result\model\test\resizeImg90.jpg,426,214,209,207,Fri Jan 30 18:24:33 2015
60,result\model\test\resizeImg90.jpg,440,214,227,212,Fri Jan 30 18:24:37 2015
57,result\model\test\resizeImg90.jpg,450,215,248,211,Fri Jan 30 18:24:43 2015
54,result\model\test\resizeImg90.jpg,455,214,264,213,Fri Jan 30 18:24:48 2015
51,result\model\test\resizeImg90.jpg,459,211,271,207,Fri Jan 30 18:25:01 2015
48,result\model\test\resizeImg90.jpg,465,212,299,211,Fri Jan 30 18:25:08 2015
45,result\model\test\resizeImg90.jpg,472,213,319,211,Fri Jan 30 18:25:12 2015
42,result\model\test\resizeImg90.jpg,479,218,339,217,Fri Jan 30 18:25:18 2015
39,result\model\test\resizeImg90.jpg,487,213,367,210,Fri Jan 30 18:25:23 2015
36,result\model\test\resizeImg90.jpg,494,213,388,216,Fri Jan 30 18:25:28 2015
33,result\model\test\resizeImg90.jpg,495,211,398,214,Fri Jan 30 18:25:35 2015
30,result\model\test\resizeImg90.jpg,497,206,413,215,Fri Jan 30 18:25:40 2015
27,result\model\test\resizeImg90.jpg,497,207,438,214,Fri Jan 30 18:25:44 2015
24,result\model\test\resizeImg90.jpg,497,212,450,215,Fri Jan 30 18:25:47 2015
21,result\model\test\resizeImg90.jpg,502,209,457,214,Fri Jan 30 18:25:52 2015
18,result\model\test\resizeImg90.jpg,497,208,473,212,Fri Jan 30 18:26:59 2015
15,result\model\test\resizeImg90.jpg,498,204,482,210,Fri Jan 30 18:27:03 2015
12,result\model\test\resizeImg90.jpg,504,205,496,212,Fri Jan 30 18:27:07 2015
9,result\model\test\resizeImg90.jpg,498,206,504,214,Fri Jan 30 18:27:11 2015
6,result\model\test\resizeImg90.jpg,494,215,522,217,Fri Jan 30 18:27:15 2015
3,result\model\test\resizeImg90.jpg,493,216,521,217,Fri Jan 30 18:27:18 2015
0,result\model\test\resizeImg90.jpg,485,216,524,221,Fri Jan 30 18:27:23 2015
