135,result\model\test2\resizeImg90.jpg,168,148,258,130,Tue Jan 27 16:43:51 2015
132,result\model\test2\resizeImg90.jpg,160,150,266,134,Tue Jan 27 16:44:02 2015
129,result\model\test2\resizeImg90.jpg,161,150,277,133,Tue Jan 27 16:44:13 2015
126,result\model\test2\resizeImg90.jpg,161,151,289,136,Tue Jan 27 16:44:20 2015
123,result\model\test2\resizeImg90.jpg,158,151,291,137,Tue Jan 27 16:44:28 2015
120,result\model\test2\resizeImg90.jpg,159,151,305,138,Tue Jan 27 16:44:38 2015
117,result\model\test2\resizeImg90.jpg,160,152,312,138,Tue Jan 27 16:44:48 2015
114,result\model\test2\resizeImg90.jpg,160,152,318,141,Tue Jan 27 16:44:55 2015
111,result\model\test2\resizeImg90.jpg,164,150,328,140,Tue Jan 27 16:45:02 2015
108,result\model\test2\resizeImg90.jpg,168,150,338,142,Tue Jan 27 16:45:08 2015
105,result\model\test2\resizeImg90.jpg,173,149,345,142,Tue Jan 27 16:45:17 2015
102,result\model\test2\resizeImg90.jpg,179,149,354,143,Tue Jan 27 16:45:25 2015
99,result\model\test2\resizeImg90.jpg,191,146,369,143,Tue Jan 27 16:45:31 2015
96,result\model\test2\resizeImg90.jpg,195,148,376,145,Tue Jan 27 16:45:41 2015
93,result\model\test2\resizeImg90.jpg,206,146,389,147,Tue Jan 27 16:45:48 2015
90,result\model\test2\resizeImg90.jpg,216,144,405,147,Tue Jan 27 16:46:42 2015
87,result\model\test2\resizeImg90.jpg,226,144,413,149,Tue Jan 27 16:46:34 2015
84,result\model\test2\resizeImg90.jpg,234,142,416,146,Tue Jan 27 16:46:55 2015
81,result\model\test2\resizeImg90.jpg,244,143,424,146,Tue Jan 27 16:47:00 2015
78,result\model\test2\resizeImg90.jpg,261,141,435,148,Tue Jan 27 16:47:07 2015
75,result\model\test2\resizeImg90.jpg,278,143,439,151,Tue Jan 27 16:47:14 2015
72,result\model\test2\resizeImg90.jpg,290,144,450,152,Tue Jan 27 16:47:22 2015
69,result\model\test2\resizeImg90.jpg,297,146,451,151,Tue Jan 27 16:47:29 2015
66,result\model\test2\resizeImg90.jpg,305,144,454,151,Tue Jan 27 16:47:35 2015
63,result\model\test2\resizeImg90.jpg,316,144,459,152,Tue Jan 27 16:47:41 2015
60,result\model\test2\resizeImg90.jpg,323,146,461,154,Tue Jan 27 16:47:46 2015
57,result\model\test2\resizeImg90.jpg,335,144,465,154,Tue Jan 27 16:47:52 2015
54,result\model\test2\resizeImg90.jpg,337,143,460,153,Tue Jan 27 16:47:57 2015
51,result\model\test2\resizeImg90.jpg,351,141,461,153,Tue Jan 27 16:48:12 2015
48,result\model\test2\resizeImg90.jpg,357,143,458,153,Tue Jan 27 16:48:20 2015
45,result\model\test2\resizeImg90.jpg,364,141,457,153,Tue Jan 27 16:48:27 2015
